docid,actualdate,inferreddate,firstpub,recept,recordid,OCLC,author,imprint,enumcron,title,pubrev,judge,impaud,yrrev,pubname,birth,gender,nationality,othername,notes,canon,DEAD,WIND,RED,STRANGE,HALF,GREY,TIS,BETWEEN,FAITH,WOMAN,GRASS,SUDDEN,BROWN,LEST,YELLOW,SHUT,HOLLOW,MOUTH,WOMEN,NIGHTS,DUMB,WRITTEN,BLOWN,STIR,ASLEEP,I_LL,LAUGHED,NATION,HERS,SCENES,WAN,I_VE,TREASURES,KNEES,FRIENDSHIP,NAKED,PEN,STRAINS,ACHING,SITTING,YESTERDAY,GARDENS,PASSIONATE,PURSUE,WE_LL,WOULDST,CREEPING,DUSK,BROODING,UNDERNEATH,SMOTE,BREATHLESS,SAVIOUR,REIGNS,BLOWING,HARSH,COLOURED,DUSTY,VAGUE,MOANING,IMPART,JESUS,CURLED,HURRYING,SHAKEN,FOLK,BESTOW,HURT,MISSION,LONDON,BEATEN,ALIEN,DRIPPING
uc1.b3342759,1919,1919,1919,random,7930862,,Wigren[COMMA] Bessie C.,Boston;The Poet Lore Company;c1919,,Summer wind,,,,,,1874,f,us,,,,7,10,4,2,0,3,4,0,2,0,0,0,2,0,3,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,3,1,0,0,1,1,3,0,0,1,7,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,3,0,0,0,0,0,0
uc1.b4100590,1918,1918,1918,reviewed,6154122,2143179,Waugh[COMMA] Alec[COMMA],London;G. Richards;1918.,,Resentment,rev,,,1918,EGO,1898,m,uk,,,,7,3,3,3,5,4,0,6,0,2,2,3,1,1,1,1,0,1,0,1,2,0,1,3,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,3,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,1,0,0,1,0,0,0,0,0,0,0
uc1.b3340220,1918,1918,1918,reviewed,7917249,12688503,Nightingale[COMMA] M.,Oxford [Oxfordshire;B.H. Blackwell;1918.,,Verses wise and otherwise,rev,neg,,1919,EGO,1879,f,uk,,,,12,7,3,0,0,8,2,1,1,1,1,0,3,9,2,0,1,0,0,0,0,0,3,1,1,1,2,2,0,0,0,0,2,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,2,0,0,0,1,0,0,0,0,0,1,0
uc2.ark+=13960=t0ft8gj1k,1918,1918,1918,reviewed,7657411,2518108,Faber[COMMA] Geoffrey[COMMA],Oxford;B. H. Blackwell;New York;Longmans[COMMA] Green & Co.;1918.,,In the valley of vision,rev,,,1918,EGO,1889,m,uk,,,,9,4,5,5,3,5,10,3,5,1,3,1,0,2,2,2,1,0,0,2,8,3,3,2,2,0,2,0,1,0,1,0,1,1,1,4,0,0,1,1,2,1,1,2,0,0,0,3,1,1,2,1,0,0,1,4,1,0,1,0,0,0,0,0,0,1,0,1,0,1,0,1,0
uc2.ark+=13960=t6k070h7g,1918,1918,1918,reviewed,6607061,2809404,Farjeon[COMMA] Eleanor[COMMA],Oxford;B.H. Blackwell;New York;Sold in America by Longmans[COMMA] Green;1918,,Sonnets and poems,rev,,,1918,EGO,1881,f,uk,,,,2,9,2,8,8,4,1,1,3,2,2,2,2,0,3,2,1,2,1,0,4,0,1,2,1,1,1,0,0,0,1,0,0,1,0,2,0,0,2,1,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,2,0,0,1,0,0,0,1,0,0,1,0,1,0,1,1,0,0
miun.abr7660.0001.001,1918,1918,1918,reviewed,389498,736313,Ford[COMMA] Ford Madox[COMMA],London;John Lane;New York;John Lane company;1918.,,On Heaven[COMMA] and poems written on active service,rev,,,1918,EGO,1873,m,uk,,,,12,2,8,6,3,9,0,8,2,4,1,2,6,0,1,0,0,0,4,4,0,0,1,0,1,0,0,1,1,0,0,2,0,1,0,1,0,0,1,3,0,3,0,0,2,0,1,8,0,0,0,1,0,0,0,3,2,0,0,0,0,0,0,3,1,0,0,0,0,3,0,0,0
mdp.39015008296884,1918,1918,1918,random,1187193,,Thomas[COMMA] Edward[COMMA],London;Selwyn & Blount;1918.,,Last poems,,,,,,1878,m,uk,,Well-known,y,18,31,0,10,20,5,10,12,0,4,16,1,6,1,3,1,8,2,1,3,1,0,0,2,0,1,6,0,1,0,0,3,0,1,1,1,1,0,0,0,4,1,0,0,0,0,0,2,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
njp.32101067680247,1918,1918,1918,random,8963885,,Carmichael[COMMA] Amy[COMMA],Edinburgh;Oliphant;1918,,Made in the pans,,,,,,1867,f,uk,,,,4,40,13,8,1,14,5,6,7,0,11,15,7,9,3,4,3,0,0,2,5,4,6,4,3,1,0,0,1,0,0,0,4,0,0,5,0,0,0,2,3,4,0,2,0,3,2,0,3,0,3,0,7,1,0,0,3,2,0,1,0,2,1,3,0,3,0,3,0,0,2,2,1
loc.ark+=13960=t3902s17h,1918,1918,1918,random,9577666,,Gruse[COMMA] Edward.,Boston;The Gorham Press;1918.,,Echoes of democracy,,,,,,1884,m,us,,,,2,10,7,0,5,2,3,0,3,0,4,6,2,1,1,0,2,0,0,1,0,0,8,1,1,2,1,3,0,0,2,0,3,0,0,0,0,0,0,0,1,0,1,0,3,0,0,0,0,0,0,1,0,1,1,1,2,1,0,0,0,0,2,0,0,0,0,0,0,0,0,3,1
loc.ark+=13960=t40s0803k,1918,1918,1918,random,9568238,,Jenness[COMMA] Burt Franklin[COMMA],Boston[COMMA] The Cornhill Company;c1918,,Man-o[APOSTROPHE]-war rhymes,,,,,,1876,m,us,,,,20,2,6,4,13,3,2,7,2,6,0,2,3,1,0,0,0,0,5,2,1,1,1,1,0,11,0,2,0,3,1,21,0,1,1,0,1,0,1,1,0,1,0,0,4,0,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,2,1
loc.ark+=13960=t7pn9zm6f,1918,1918,1918,random,7665565,,McClure[COMMA] John Peebles[COMMA],New York;A. A. Knopf;1918.,,Airs and ballads,,,,,,1893,m,us,,,,13,11,4,5,0,15,1,3,2,5,4,2,1,0,0,0,0,1,4,4,3,0,1,0,1,0,5,0,0,0,1,0,0,0,0,0,1,0,0,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,1,0,0,2,1,0,0,10,0,0,0,0,1,0,0
uc1.b3626228,1917,1917,1917,reviewed,309384,795110,Aiken[COMMA] Conrad[COMMA],Boston;The Four Seas Company;1917.,,Nocturne of remembered spring[COMMA] and other poems,rev,,,1918,EGO,1889,m,us,,,,14,34,13,29,10,19,0,15,0,12,18,12,7,4,9,4,3,13,1,9,1,0,10,2,3,1,9,0,0,0,0,0,0,0,0,2,0,0,3,1,3,1,1,6,1,0,3,2,0,1,1,2,0,0,4,0,2,3,9,0,0,0,0,2,1,0,0,4,0,0,2,0,5
uc2.ark+=13960=t80k27j8j,1917,1917,1917,reviewed,1838375,1006049,Eliot[COMMA] T. S.,London;The Egoist Ltd. ...;1917.,,Prufrock and other observations,rev,pos,,1917,EGO,1888,m,us,,,y,3,2,1,1,5,1,0,1,1,1,1,1,3,0,5,0,0,1,3,1,0,0,1,0,2,0,2,0,0,0,0,0,0,2,2,0,1,0,0,2,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
uc1.b4100506,1917,1917,1917,reviewed,6154086,3545363,Campbell[COMMA] Joseph[COMMA],Dublin;London;Maunsel;1917.;(Dublin;George Roberts),,Earth of Cualann,rev,pos,,1917,EGO,1879,m,ir,Seosamh Mac Cathmhaoil,,,6,4,6,0,0,3,0,2,0,5,1,0,1,0,0,0,2,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
loc.ark+=13960=t0dv25v7j,1917,1917,1917,random,9565056,,Reed[COMMA] Helen Leah[COMMA],Boston;De Wolfe and Fiske;c1917.,,Memorial Day[COMMA] and other verse (original and translated),,,,,,1860,f,us,,,,9,9,2,2,3,2,8,0,0,3,3,1,2,3,1,0,0,0,6,0,1,1,1,1,1,13,1,7,1,0,0,2,0,2,0,1,2,0,2,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,2,1,1,5,1,0,1
loc.ark+=13960=t76t19455,1917,1917,1917,random,6517209,,Bachtell[COMMA] Paul B.,Los Angeles;Baumgardt Publishing Company;1917.,,At Lucifer[APOSTROPHE]s portals,,,,,,1890,m,us,,,,16,4,6,2,8,0,19,0,2,13,1,0,0,2,0,0,0,0,2,3,0,1,0,1,0,3,4,5,0,0,0,2,6,0,1,2,1,5,0,0,0,0,0,0,2,1,0,2,0,1,2,0,1,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0
uc2.ark+=13960=t6736mr5n,1917,1917,1917,random,6228739,,Aikins[COMMA] Carroll.,Boston;Sherman[COMMA] French & Company;1917.,,Poems,,,,,,1888,m,ca,,,,3,7,1,0,1,9,0,3,0,5,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,1,2,0,1,0,0,2,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
loc.ark+=13960=t3nv9z201,1917,1917,1917,random,9590157,,Kirk[COMMA] Annie (Brindley)[COMMA],Detroit;1917,,Inspirational poems,,,,,,1855,f,us,,,,1,0,0,0,1,0,11,0,10,2,0,2,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,3,2,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,1,0,1,9,0,0,0,0,1,0,1,0,0,0,0
uc2.ark+=13960=t94748994,1917,1917,1917,random,2651411,,Wood[COMMA] Clement[COMMA],New York;L. J. Gomme;1917.,,Glad of earth,,,,,,1888,m,us,,,,9,10,11,3,2,17,0,2,2,8,3,0,11,0,1,1,2,3,9,3,4,0,1,3,5,0,0,0,1,0,0,0,0,1,2,5,0,0,8,0,6,2,1,0,0,0,1,6,1,0,0,3,0,0,0,2,0,2,4,1,0,1,0,0,2,0,0,1,0,0,0,0,2
loc.ark+=13960=t13n30w9p,1917,1917,1917,random,11213778,,Andrews[COMMA] Edith Fargo.,Boston;Sherman[COMMA] French & Company;1917.,,Vagrant visions,,,,,,1888,f,us,,,,2,12,2,3,0,1,6,2,5,4,2,1,0,0,0,0,0,0,1,2,0,2,0,1,0,1,0,0,0,0,1,7,0,0,3,0,0,1,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
mdp.39015012978758,1916,1916,1916,reviewed,1029355,486117,Seeger[COMMA] Alan[COMMA],New York;C. Scribner[APOSTROPHE]s sons;1916.,,Poems,rev,,,1917,EGO,1888,m,us,,,,4,18,15,6,11,9,10,10,4,12,8,3,5,3,5,2,3,4,2,7,0,3,6,2,0,1,0,2,1,1,1,1,1,2,0,2,0,2,1,0,0,5,6,2,0,1,0,8,1,2,2,1,0,0,0,1,1,0,1,2,1,0,5,1,0,2,0,0,1,1,0,0,0
uc1.b4101052,1916,1916,1916,reviewed,631830,513652,Masters[COMMA] Edgar Lee[COMMA],New York;The Macmillan company;1916.,,Songs and satires,rev,,,1916,PMV,1868,m,us,,,,18,16,18,3,22,3,6,18,4,32,7,6,1,5,9,6,2,5,25,1,2,1,2,2,4,7,4,0,0,0,0,2,2,4,7,3,1,1,0,7,0,0,1,2,5,3,0,1,0,2,3,2,0,1,2,0,5,1,1,0,0,5,2,1,1,0,0,2,1,1,3,0,1
mdp.39015048709672,1916,1916,1916,reviewed,186256,603883,De la Mare[COMMA] Walter[COMMA],New York;Henry Holt and Co.;1916.,,The listeners[COMMA] and other poems,rev,,,1916,PMV,1873,m,uk,,,,5,7,1,9,10,8,1,5,0,1,3,0,1,1,0,5,2,0,0,0,1,0,3,6,5,0,0,0,1,0,2,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,2,6,1,0,2,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
loc.ark+=13960=t10p1hx6j,1916,1916,1916,reviewed,6154895,1926345,Arensberg[COMMA] Walter[COMMA],Boston and New York;Houghton Mifflin Co.;1916.,,Idols,rev,pos,,1916,PMV,1878,m,us,,,,2,3,0,1,0,2,0,0,0,1,2,1,0,0,0,0,1,2,3,0,1,1,0,0,2,0,0,0,1,0,1,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
nyp.33433066644851,1916,1916,1916,reviewed,1029308,28227389,Sandburg[COMMA] Carl[COMMA],New York;Holt;1916,,Chicago poems,rev,pos,,1916,PMV,1878,m,us,,,y,25,22,44,1,7,16,0,11,0,20,7,2,7,0,17,3,1,6,33,3,0,5,2,1,0,3,4,6,0,0,0,1,0,0,0,4,0,0,1,6,4,0,3,0,0,0,1,17,1,1,0,0,0,0,4,1,0,0,0,0,0,3,0,0,2,2,0,0,0,1,6,0,3
mdp.39015063915642,1916,1916,1916,random,282252,,Bashford[COMMA] H. H.,Boston;New York;Houghton Mifflin company;1916.,,Songs out of school,,,,,,1880,m,uk,,,,2,5,7,4,12,4,3,7,1,0,0,1,1,1,1,1,0,0,0,1,0,0,1,1,2,0,1,1,0,0,0,2,0,1,1,3,1,0,0,0,4,0,1,0,0,0,1,3,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,1,1,0,0,0,6,0,0,0
loc.ark+=13960=t85h8fd4f,1916,1916,1916,random,11210368,,White[COMMA] Charles Edward[COMMA],Syracuse[COMMA] N.Y.;John Single Paper Co.[COMMA] printers;c1916,,Poems of school and life,,,,,,1848,m,us,,,,7,3,8,0,5,3,21,5,4,0,0,0,2,2,3,0,0,0,0,1,0,2,0,2,1,1,0,1,0,3,0,6,2,1,5,1,3,1,0,0,0,1,0,2,9,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,3,0,2,0,0
loc.ark+=13960=t8jd5j56r,1916,1916,1916,random,9607316,,Keeler[COMMA] Charles Augustus[COMMA],New York;L. J. Gomme;1916.,,The victory: poems of triumph,,,,,,1871,m,us,,,,17,7,3,3,0,3,25,0,10,6,4,2,3,0,1,1,2,0,1,0,0,0,1,1,1,0,2,0,0,2,2,0,1,1,1,1,0,5,1,0,0,0,2,0,1,0,0,1,3,0,0,1,1,0,2,1,0,0,0,0,0,0,0,1,0,2,0,0,1,1,0,0,0
loc.ark+=13960=t01z4v628,1916,1916,1916,random,449448,,Havener[COMMA] William Alexander.,Clovis[COMMA] N. M.;1916.,,Evening pastimes,,,,,,,m,,,,,2,11,6,2,11,26,17,1,5,0,3,0,5,0,3,2,1,1,0,0,0,2,2,1,1,8,2,0,0,3,0,11,0,0,0,0,5,0,0,0,2,0,1,0,4,0,0,4,0,0,0,0,0,0,1,0,0,1,0,0,3,0,0,1,1,0,0,0,0,0,0,0,0
uc2.ark+=13960=t12n5658q,1915,1915,1915,reviewed,7694830,1729410,Cornford[COMMA] Frances Darwin[COMMA],London;Poetry Bookshop;1915.,,Spring morning,rev,neg,,1915,EGO,1886,f,uk,,,,2,1,2,0,0,6,0,0,0,3,7,0,3,0,2,0,0,0,1,2,1,0,0,1,0,0,1,0,0,0,0,0,1,5,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
uc1.b4101575,1915,1915,1915,reviewed,4136771,1920139,Percy[COMMA] William Alexander[COMMA],New Haven;Yale University Press; [etc.[COMMA] etc.;1915.,,Sappho in Levkas,rev,neg,,1917,PMV,1885,m,us,,,,12,11,7,6,11,12,7,3,2,3,6,2,6,5,2,0,0,16,1,3,2,0,7,4,3,1,0,0,0,0,0,0,0,1,0,4,0,0,0,0,0,2,3,0,1,0,0,6,1,1,0,3,0,0,1,1,1,1,3,0,0,1,0,0,2,3,0,7,1,0,0,4,0
uc2.ark+=13960=t81j9n694,1915,1915,1915,reviewed,1417790,6537454,Flecker[COMMA] James Elroy[COMMA],London;The Poetry Bookshop;1915,,The old ships,rev,,elite,1915,EGO,1884,m,uk,,,,8,5,6,1,2,6,0,0,1,1,2,1,2,0,2,1,1,0,2,1,0,0,0,0,2,2,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1
uc1.b4100495,1915,1915,1915,reviewed,6154080,367177,Stephens[COMMA] James[COMMA],New York;The Macmillan company;c1915,,Songs from the clay,rev,,,1915,PMV,1880,m,ir,,,,3,13,4,1,1,4,1,5,0,2,6,4,2,4,0,0,1,0,4,1,2,0,0,1,0,2,2,0,0,0,0,0,0,0,0,2,1,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
uc1.b4100799,1915,1915,1915,reviewed,6154216,6566006,Wickham[COMMA] Anna[COMMA],London;The Poetry bookshop;1915.,,The contemplative quarry,rev,,,1915,EGO,1883,f,uk,,,,3,2,0,2,0,0,1,0,3,23,0,1,1,0,3,0,0,1,16,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0
nyp.33433066644828,1915,1915,1915,random,8656768,,Sanford[COMMA] J. E.,Fredonia[COMMA] N.Y.;Hart;1915.,,His one tune[COMMA] and a few others,,,,,,1876,m,us,,,,4,3,3,3,2,7,16,2,2,4,2,0,8,0,0,1,0,1,5,3,0,0,0,0,0,15,0,8,1,1,1,3,2,0,1,0,1,0,0,7,2,0,0,0,4,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0
loc.ark+=13960=t9g458b15,1915,1915,1915,random,9569764,,Ferris[COMMA] Mary Lanman Douw [QUOTE]Mrs. Morris P. Ferris[COMMA][QUOTE][COMMA],New York;1915,,A legend of New Year eve,,,,,,1855,f,us,,,,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
mdp.39015008529144,1915,1915,1915,random,583940,,Brooke[COMMA] Rupert[COMMA],New York;John Lane company;1915.,,The collected poems of Rupert Brooke,,,,,,1887,m,uk,,,y,45,27,6,21,14,12,1,12,10,4,7,2,8,1,0,3,4,9,9,1,11,2,4,8,7,14,6,0,3,0,1,4,1,0,1,3,0,0,0,1,0,1,1,0,5,0,1,0,0,0,0,2,0,0,5,0,1,3,2,0,0,0,3,1,7,2,0,4,0,0,1,0,0
nyp.33433082209861,1915,1915,1915,random,8655884,,Emmons[COMMA] Earl H.[COMMA],New York;E.H. Emmons;c1915,,Redskin rimes,,,,,,1888,m,us,,,,3,2,1,0,2,0,1,1,0,2,0,0,0,1,3,0,0,0,0,0,0,10,0,0,0,4,0,0,0,3,0,3,0,0,0,0,0,0,0,1,0,0,0,1,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
loc.ark+=13960=t2h70wf5d,1915,1915,1915,random,9565582,,Bolmer[COMMA] Clarence Buckmaster.,New York;The Knickerbocker press;c1915,,Day dreams,,,,,,1858,m,us,,,,3,6,0,1,0,4,2,0,0,1,2,0,1,0,1,0,0,0,2,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,1,1,0,1,0,0,0,0,2,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nyp.33433066651138,1914,1914,1914,reviewed,8656518,20463618,Lindsay[COMMA] Vachel[COMMA],New York;The Macmillan Company;1919[COMMA] c1914.,,The Congo and other poems,rev,,,1915,PMV,1879,m,us,,,,20,20,29,10,11,15,8,0,4,1,6,0,3,4,2,0,0,4,0,0,4,2,3,0,1,1,8,4,1,0,0,1,0,1,1,1,4,0,1,0,1,2,0,0,2,0,4,3,3,1,0,1,0,0,0,3,0,0,0,0,0,0,1,1,0,2,0,1,0,0,0,0,0
uc1.$b439794,1914,1914,1914,reviewed,632042,284968,Kilmer[COMMA] Joyce[COMMA],New York;George H. Doran company;c1914,,Trees,rev,neg,,1914,PMV,1886,f,us,,,,5,2,5,4,0,1,0,0,2,5,3,1,0,0,2,1,2,2,2,2,2,0,0,1,0,1,0,1,0,0,0,1,0,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,1,1,0,0,1,0,1,0
uc2.ark+=13960=t4kk95h1q,1914,1914,1914,reviewed,6639062,1738726,Ben̩t[COMMA] William Rose[COMMA],New Haven;Yale University Press;1914.,,The falconer of God,rev,,,1914,PMV,1886,m,us,,,,17,17,14,8,1,12,6,2,5,8,4,6,6,4,5,1,3,3,1,2,7,0,2,0,1,0,1,0,3,0,1,0,0,1,0,0,0,0,1,1,0,0,3,1,0,0,2,3,1,1,0,0,0,0,1,1,2,0,0,1,0,1,0,0,0,1,0,1,0,1,1,1,3
loc.ark+=13960=t3029c41j,1914,1914,1914,reviewed,9574671,4323914,Clarke[COMMA] George Herbert[COMMA],Cincinnati;Stewart & Kidd;1914,,At the shrine,rev,neg,,1915,PMV,1873,m,us,,,,16,9,4,9,1,6,1,0,5,19,1,11,4,3,0,1,0,0,2,4,0,1,2,2,3,0,3,0,4,0,3,0,0,1,1,0,4,0,0,1,0,0,2,0,0,3,2,1,6,0,1,3,1,1,2,2,0,1,1,0,0,0,0,1,0,2,1,0,1,1,2,2,1
uc2.ark+=13960=fk9v11w414,1914,1914,1914,reviewed,8658399,290324,Untermeyer[COMMA] Louis[COMMA],New York;The Century co.;1914.,,Challenge,rev,neg,,1914,PMV,1885,m,us,,,,8,11,10,10,7,1,1,1,9,2,5,8,1,3,2,2,0,0,4,4,5,0,1,5,1,0,3,0,0,0,3,0,0,0,0,2,0,0,0,0,0,0,4,1,0,1,1,5,3,2,0,3,1,0,1,0,1,0,3,0,0,0,0,0,0,1,0,1,0,0,1,1,0
uc1.b3332871,1914,1914,1914,reviewed,7924703,1296560,Bangs[COMMA] John Kendrick[COMMA],New York;Macmillan;1914.,,The foothills of Parnassus,rev,neg,,1914,PMV,1862,m,us,,,,5,4,8,2,4,8,27,3,6,1,5,0,2,4,2,1,0,0,1,2,0,1,0,1,1,23,4,1,2,9,0,18,5,2,0,0,7,1,0,3,3,0,1,0,5,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,1,0,0,0,0,1,0,2,1,0,0,0,0
mdp.39015000595614,1914,1914,1914,reviewed,1376256,5104656,Oppenheim[COMMA] James[COMMA],New York;The Century co.;1914.,,Songs[COMMA] for the new age,rev,,,1914,PMV,1882,m,us,,,,25,13,5,10,3,9,0,3,1,41,6,1,7,5,0,1,1,3,17,1,3,1,3,0,0,1,3,0,2,0,0,0,0,0,0,3,1,0,2,2,0,0,0,0,0,0,0,1,4,2,0,2,0,0,5,0,0,1,1,0,0,1,0,0,0,3,0,1,0,0,0,0,0
uc2.ark+=13960=t5k93645c,1914,1914,1914,reviewed,1025611,5198135,Monro[COMMA] Harold[COMMA],London;Poetry Bookshop;1914.,,Children of love,rev,,,1914,EGO,1879,m,uk,,,,5,2,1,4,1,4,0,1,0,1,2,0,1,0,2,0,0,0,1,1,1,0,0,2,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,2,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,3,0,0,0
mdp.39015030756970,1914,1914,1914,reviewed,629642,288656,Lowell[COMMA] Amy[COMMA],New York;The MacMillan company;1914.,,Sword blades and poppy seed,rev,,,1914,EGO,1874,f,us,,,y,23,33,28,10,23,12,11,12,1,13,7,4,5,4,12,6,3,5,0,3,1,0,8,3,0,12,8,0,0,0,0,10,0,4,1,2,0,0,1,3,1,1,0,0,3,0,0,2,0,2,1,0,0,0,3,1,4,4,2,1,0,1,4,1,0,1,0,3,0,2,0,1,6
uc2.ark+=13960=t0ht2j42v,1914,1914,1914,reviewed,7682801,13539963,Rodker[COMMA] John[COMMA],Whitechapel;To be had of the Author;1914,,Poems,rev,,,1914,EGO,1894,m,uk,,,,5,10,0,1,0,1,0,1,0,1,0,2,0,2,2,2,1,1,1,0,0,0,2,3,2,0,0,0,0,0,2,0,0,0,0,2,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0
njp.32101067172872,1917,1917,1914,reviewed,8956117,1810171,Sassoon[COMMA] Siegfried[COMMA],London;W. Heinemann;1917,,The old huntsman,rev,,,1914,PMV,1886,m,uk,,,y,10,20,11,2,13,9,2,0,1,1,5,3,5,1,4,1,4,3,3,3,0,0,6,3,3,8,2,0,0,0,0,27,0,2,0,3,0,0,0,4,0,1,0,0,3,0,0,4,2,0,0,1,0,0,2,1,0,3,0,0,0,3,0,0,3,9,0,0,0,1,2,0,1
nyp.33433066636329,1914,1914,1914,reviewed,6502296,11165602,Lee[COMMA] Agnes[COMMA],Boston;Sherman[COMMA] French;1914.,,The sharing,rev,,,1915,PMV,1868,f,us,,,,3,6,2,2,3,5,0,1,2,8,3,0,0,1,2,1,0,0,4,1,0,1,2,0,2,5,2,0,4,0,0,4,1,0,0,0,1,0,0,2,0,0,1,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,4,1,0,1,0,1,0,1,2
loc.ark+=13960=t40s0mt4z,1914,1914,1914,reviewed,633653,1496428,Monroe[COMMA] Harriet[COMMA],New York;The Macmillan company;1914.,,You and I,rev,,,1914,EGO,1860,f,us,,,,16,21,22,12,5,15,3,5,5,19,2,1,7,8,4,8,1,1,4,3,1,0,10,5,6,1,3,4,0,0,4,0,1,2,0,3,0,0,1,2,5,6,0,2,1,0,1,1,2,0,0,0,1,0,2,2,0,0,2,0,0,0,3,1,1,0,0,0,0,3,2,0,0
nyp.33433074961453,1914,1914,1914,random,8656710,,Tolman[COMMA] Emily.,Boston;Sherman[COMMA] French & Company;c1914,,To a summer cloud,,,,,,,,,,,,8,5,3,0,1,3,12,3,2,1,2,1,3,4,2,0,0,0,0,0,2,1,0,2,0,1,0,6,0,0,0,1,3,0,0,0,3,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1,0,0,0,0,0
uc2.ark+=13960=t5q81605q,1915,1915,1914,random,7917228,,Morgan[COMMA] Angela.,New York;E.C. Lewis Co.;c1914.,,The hour has struck;,,,,,,1875,f,us,,,,2,4,1,1,0,0,7,1,5,9,1,2,0,0,0,1,0,1,4,1,2,0,2,0,0,0,0,4,1,0,1,0,0,1,0,3,1,0,0,1,0,0,4,0,0,0,0,4,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,2,0,0,1,0,0,1,0,0
