docid,actualdate,inferreddate,firstpub,recept,recordid,OCLC,author,imprint,enumcron,title,pubrev,judge,impaud,yrrev,pubname,birth,gender,nationality,othername,notes,canon,DEAD,WIND,RED,STRANGE,HALF,GREY,TIS,BETWEEN,FAITH,WOMAN,GRASS,SUDDEN,BROWN,LEST,YELLOW,SHUT,HOLLOW,MOUTH,WOMEN,NIGHTS,DUMB,WRITTEN,BLOWN,STIR,ASLEEP,I_LL,LAUGHED,NATION,HERS,SCENES,WAN,I_VE,TREASURES,KNEES,FRIENDSHIP,NAKED,PEN,STRAINS,ACHING,SITTING,YESTERDAY,GARDENS,PASSIONATE,PURSUE,WE_LL,WOULDST,CREEPING,DUSK,BROODING,UNDERNEATH,SMOTE,BREATHLESS,SAVIOUR,REIGNS,BLOWING,HARSH,COLOURED,DUSTY,VAGUE,MOANING,IMPART,JESUS,CURLED,HURRYING,SHAKEN,FOLK,BESTOW,HURT,MISSION,LONDON,BEATEN,ALIEN,DRIPPING
nyp.33433074874540,1898,1898,1898,reviewed,8663852,4354387,Rhys[COMMA] Ernest[COMMA],London;D. Nutt;1898.,,Welsh ballads,rev,pos,,1899,FR,1859,m,uk,,,,25,34,38,3,4,27,6,3,2,7,9,2,5,4,9,0,0,3,6,2,2,0,3,0,8,3,2,0,2,0,1,0,0,0,0,1,1,3,0,0,1,1,3,0,1,0,0,2,1,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,2,0,1,0,5,0,0,0
uc2.ark+=13960=t23b6296r,1898,1898,1898,reviewed,7692465,7628453,Shorter[COMMA] Dora Sigerson[COMMA],London;New York;John Lane;1898.,,The fairy changeling and other poems,rev,pos,,1899,FR,1866,f,ir,Sigerson[COMMA] Dora,,,30,14,8,12,2,8,5,8,4,19,4,1,1,2,3,1,2,2,0,0,3,0,3,1,1,10,7,0,1,0,0,1,0,0,0,1,0,0,0,0,1,1,1,1,0,0,0,2,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,4,0,0,0,1,1,0,1
uc2.ark+=13960=t0vq2sd89,1898,1898,1898,random,7667733,,Olmsted[COMMA] Charles Sanford[COMMA],Philadelphia;G. W. Jacobs & co.;1898.,,December musings and other poems,,,,,,1853,m,us,,,,6,3,3,5,6,3,21,2,23,0,1,1,1,6,1,3,0,0,1,0,1,0,1,3,0,4,0,0,0,6,0,1,8,0,0,0,0,2,0,0,0,2,0,0,0,3,0,0,0,2,1,0,8,2,0,1,0,0,0,0,4,28,0,0,0,0,0,0,1,0,0,0,0
uc1.b166365,1898,1898,1898,random,6641768,,Latymer[COMMA] Francis Burdett Thomas Coutts-Nevill[COMMA],London;New York;John Lane;1898.,,The Alhambra and other poems,,,,,,1852,m,uk,,,,5,10,3,2,2,0,4,5,4,11,1,0,1,2,0,0,2,0,4,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,2,2,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,2,0,0,2,0,0,1,7,1,2,0
mdp.39015030841830,1898,1898,1898,random,1372238,,<blank>,St. Albans[COMMA] Vt.;Wallace-Cummings Print. Co.;1898.,,Vermont verse,,,,,,1878,m,us,Taft[COMMA] Russell W.,,,14,16,10,5,5,5,16,2,3,1,3,0,9,1,3,2,0,1,3,2,0,1,3,1,2,3,1,9,0,2,1,3,3,0,1,0,4,1,0,1,0,0,0,0,4,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,1,0,0,3,0,2,0,1
loc.ark+=13960=t4dn4r64d,1897,1897,1897,reviewed,9593667,,Stedman[COMMA] Edmund Clarence[COMMA],Boston;New York;Houghton[COMMA] Mifflin and Co.;1897.,,Poems[COMMA] now first collected,rev,,,1898,ATL,1833,m,us,,,,15,27,12,9,8,9,1,13,6,6,1,4,3,5,4,2,8,5,1,4,3,0,1,1,0,0,1,3,0,0,5,0,0,1,0,1,1,1,0,0,2,0,1,0,0,2,0,3,1,1,1,1,0,0,0,1,0,0,3,0,0,0,1,0,1,6,0,0,0,2,0,1,0
uc1.b3576647,1897,1897,1897,reviewed,1024642,350184,Symons[COMMA] Arthur[COMMA],London;L. Smithers;New York;G.H. Richmond and co.;1897.,,Amoris victima,pub,,,1896,SAV,1865,m,uk,,,,6,10,3,7,2,3,0,5,1,7,2,3,0,3,0,0,6,2,3,2,3,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,7,0,12,1,0,0,0,1,2,0,0,0,0,0,0,1,0,1,3,0,0,0,1,1,1,0,0,0,0,2,1,2,0
nyp.33433074802640,1897,1897,1897,random,8657038,,Young[COMMA] Claiborne Addison.,Boston;Estes & Lauriat;1897.,,Way songs and wanderings,,,,,,1843,m,us,,,,12,12,5,1,12,2,9,0,0,1,5,0,1,0,0,0,1,0,2,2,2,0,1,0,0,9,0,1,0,0,0,9,0,1,0,0,3,0,0,1,0,1,0,0,2,3,0,0,1,0,0,1,0,1,1,3,0,2,0,0,0,4,0,0,0,0,0,0,2,0,0,1,0
nyp.33433076031859,1897,1897,1897,random,8637086,,Riley[COMMA] James Whitcomb[COMMA],New York;C. Scribner[APOSTROPHE]s sons;1897-1914.,v. 9 Armazindy,The poems and prose sketches of James Whitcomb Riley,,,,,,1849,m,us,,,,10,5,12,3,7,3,2,1,5,7,7,1,5,0,1,1,0,5,0,0,4,0,1,0,2,0,3,1,1,1,3,8,0,1,5,0,2,0,1,0,4,0,0,0,2,0,0,1,1,3,0,1,0,0,0,0,0,1,1,2,0,0,1,0,0,1,0,0,0,0,0,3,0
nyp.33433074901194,1897,1897,1897,random,7689169,,Howard[COMMA] Henry Newman[COMMA],London;E. Stock;1897.,,Footsteps of Proserpine and other verses and interludes,,,,,,1861,m,uk,,,,17,8,15,4,1,3,8,0,3,11,5,1,4,3,2,4,1,4,1,2,2,0,11,1,1,4,5,3,3,0,2,0,0,1,0,5,0,0,2,0,0,0,1,2,0,2,0,0,1,0,3,0,0,0,0,1,0,0,0,2,1,2,0,0,1,5,1,1,0,0,0,0,0
