docid,actualdate,inferreddate,firstpub,recept,recordid,OCLC,author,imprint,enumcron,title,pubrev,judge,impaud,yrrev,pubname,birth,gender,nationality,othername,notes,canon
uc2.ark+=13960=t7hq3sh5d,1911,1911,1911,random,1020865,,Barnard[COMMA] William Francis.,Chicago;The Fraternal press;1911.,,The tongues of toil[COMMA] and other poems,,,,,,1840,m,us,,,
nyp.33433066601869,1911,1911,1911,random,450244,,Hough[COMMA] Alfred J.,Boston;R. G. Badger;1911.,,Egyptian melodies,,,,,,1848,m,us,,,
nyp.33433074835962,1910,1910,1910,reviewed,8657714,6354506,Van Rensselaer[COMMA] Schuyler[COMMA],New York;The Macmillan company;1910.,,Poems,pub,,,1912,PMV,1851,f,us,Van Rensselaer[COMMA] Schuyler[COMMA] Mrs.,obscure,
uc2.ark+=13960=t9862dr88,1912,1912,1910,random,7654437,,Campbell[COMMA] Archibald Y.,Cambridge;W. Heffer;London;Simpkin[COMMA] Marshall;1912.,,Poems,,,,,,1885,m,uk,,,
loc.ark+=13960=t23b6hk19,1910,1910,1910,random,9565268,,Farnsworth[COMMA] Edward Clarence.,Portland[COMMA] Me.;Smith & Sale;1910.,,Saint Helena,,,,,,,,,,,
mdp.39015063926003,1910,1910,1910,random,324552,,Ranum[COMMA] Louise Cann[COMMA],Boston;The Poet lore company;1910.,,Dreams,,,,,,1871,f,us,,birth estimated,
uc2.ark+=13960=fk57d2qj4c,1910,1910,1910,reviewed,,,Robinson[COMMA] Edwin Arlington[COMMA],New York;Scribner;1910.,,The town down the river,rev,,,1906,FR,1869,m,us,,,y
uva.x002264382,1908,1908,1908,reviewed,9794369,1648765,Field[COMMA] Michael.,London;T. Fisher Unwin;1908.,,Wild honey from various thyme,rev,,elite,1908,TNA,1846,f,uk,Bradley[COMMA] Katharine Harris,,y
uc2.ark+=13960=t1cj8g26m,1922,1922,1908,reviewed,,,Davies[COMMA] W. H.,London;Cape;1922.,,Nature poems and others,rev,pos,,1914,FR,1871,m,uk,,,
uc1.b4100432,1907,1907,1907,random,6154048,,Eilshemius[COMMA] Louis M.,New York City;E. Lewis;c1907,,All about girls,,,,,,1864,m,us,,,
uc1.b3810610,1907,1907,1907,reviewed,1020283,793696,Colum[COMMA] Padraic[COMMA],Dublin;Maunsel;1907.,,Wild earth;,rev,pos,,1908,TNA,1881,m,ir,,,
uc2.ark+=13960=t4cn71f36,1911,1911,1907,reviewed,6634051,9177416,Ainslie[COMMA] Douglas[COMMA],London;A. Constable;Elkin Mathews;1911,,Mirage,pub,,,1907,FR,1865,m,uk,,,
loc.ark+=13960=t7wm1rg17,1907,1907,1907,random,9587715,,Johnson[COMMA] Felicia Ross. [from old catalog],Boston;R.G. Badger;1907.,,Seamstress and poet,,,,,,,f,us,,,
mdp.39015031228516,1907,1907,1907,reviewed,,,Davies[COMMA] W. H.,London;E. Mathews;1907.,,New poems,rev,pos,,1914,FR,1871,m,uk,,,
loc.ark+=13960=t63494g1k,1908,1908,1907,random,,,Creel[COMMA] George[COMMA],San Francisco;New York;P. Elder & Company;c1908,,Quatrains of Christ,,,,,,1876,m,us,,,
mdp.39015065250162,1905,1905,1905,reviewed,778684,1189647,Branch[COMMA] Anna Hempstead[COMMA],Boston;New York;Houghton[COMMA] Mifflin and Co.;1905,,The shoes that danced[COMMA] and other poems,rev,pos,,1905,ATL,1875,f,us,,,
nyp.33433074844253,1905,1905,1905,reviewed,8666934,37193973,Clifford[COMMA] Ethel.,London;J. Lane;1905.,,Love[APOSTROPHE]s journey,pub,,,1904,FR,1876,f,uk,,obscure,
uc2.ark+=13960=t3zs2qr30,1905,1905,1905,reviewed,439399,2457739,Davidson[COMMA] John[COMMA],London;New York;J. Lane;1905.,,Selected poems,rev,pos,,1905,ATL,1857,m,uk,,,
nyp.33433075831325,1905,1905,1905,random,7660439,,Grant[COMMA] Percy Stickney[COMMA],New York;Ingalls Kimball;1905.,,Ad matrem,,,,,,1860,m,us,,,
uc2.ark+=13960=t5gb1xt7n,1905,1905,1905,random,436865,,Herford[COMMA] Oliver[COMMA],New York;C. Scribner[APOSTROPHE]s sons;1905,,The fairy godmother-in-law,,,,,,1863,m,us,,,
nyp.33433075741672,1905,1905,1905,random,8657544,,Thomas[COMMA] Cynthia D. Harvey[COMMA],Jackson[COMMA] Mich.;Daily Citizen Printing House;1905.,,Light in the cloud,,,,,,1841,f,us,,,
nyp.33433045638883,1916,1916,1905,random,6130699,,Hay[COMMA] John[COMMA],Boston;Houghton Mifflin company;1916.,,The complete poetical works of John Hay,,,,,,1838,m,us,,,
uc2.ark+=13960=t0vq2v44m,1907,1895,1904,reviewed,7677494,2568797,Woods[COMMA] Margaret L.,London;Macmillan;1907.,,Poems old and new,pub,,,1904,FR,1856,f,uk,,,
wu.89083865741,1904,1904,1904,reviewed,5921695,276103,Van Dyke[COMMA] Henry[COMMA],New York;C. Scribner[APOSTROPHE]s Sons;1904.,,Music[COMMA] and other poems,rev,pos,,1905,ATL,1852,m,us,,,
loc.ark+=13960=t7zk64j0c,1904,1904,1904,reviewed,324675,2204688,Sherman[COMMA] Frank Dempster[COMMA],Boston;New York;Houghton[COMMA] Mifflin and company;1904.,,Lyrics of joy,rev,pos,,1905,ATL,1860,m,us,,,
nyp.33433075816078,1904,1904,1904,random,8656368,,Ehrmann[COMMA] Max[COMMA],New York;Dodge Publishing Co.;1904,,Breaking home ties,,,,,,1872,m,us,,,
loc.ark+=13960=t8w95rc5h,1904,1904,1904,random,9570189,,St. John[COMMA] Charles Henry.,Boston;R.G. Badger;1904.,,The dawn of freedom;,,,,,,1830,m,,,,
uc2.ark+=13960=t04x56b63,1903,1903,1903,reviewed,7662568,1510554,Hope[COMMA] Laurence[COMMA],New York;J. Lane;London;W. Heinemann;1903.,,Stars of the desert,pub,,,1903,FR,1865,f,uk,Nicolson[COMMA] Adela Florence,,
loc.ark+=13960=t55d9qp4v,1903,1903,1903,random,11209701,,Kelley[COMMA] N. P. [from old catalog],n.p.;c1903.,,Poems,,,,,,,,,,,
nyp.33433074849278,1903,1903,1903,random,8663593,,Faulkner[COMMA] S. E. Sherwood.,Toronto;1903.,,Sea murmurs and woodland songs,,,,,,1853,m,ca,,,
nyp.33433074891130,1907,1907,1903,random,8663209,,Noyes[COMMA] Alfred[COMMA],New York;The Macmillan company;London;Macmillan & co.[COMMA] ltd.;1907.,,The flower of old Japan,,,,,,1880,m,uk,,,
loc.ark+=13960=t1cj8vs53,1902,1902,1902,random,9559746,,Welsh[COMMA] Mary Elizabeth[COMMA],New York;London [etc.;The Abbey press;1902,,Kapiolani;,,,,,,1840,f,us,,,
